	169
10065	4
10453	11
10452	2
10451	6
10457	13
10456	8
10455	5
10459	7
10458	7
10011	7
11233	4
11385	15
11234	12
10016	3
11237	7
11218	8
11378	7
11102	6
11103	5
11377	11
11101	7
11106	3
11370	1
11104	2
11372	5
11375	5
11374	3
11229	8
10040	5
10029	5
11201	6
11203	7
10128	7
11205	6
11373	7
11207	7
10027	3
11209	10
11208	12
11105	6
10024	3
11224	2
11368	5
11369	2
11366	2
11367	3
11364	3
11362	3
11363	2
11360	1
11361	7
11220	10
11212	5
11213	10
11210	14
11211	5
11216	9
11217	4
11214	6
11215	8
10035	2
10034	2
10037	1
10036	3
10031	3
10030	6
10033	7
10032	4
11358	3
11004	1
11694	1
11357	3
11356	4
11355	7
11691	5
10023	4
11435	9
10038	1
10309	4
10308	3
10307	1
10306	3
10305	5
10304	4
10303	4
10028	1
11228	4
10026	4
11226	21
11225	12
10025	10
11223	9
11222	10
11221	11
10021	1
11219	4
11429	2
11421	4
11420	4
11422	1
11427	5
11426	2
10310	2
10312	4
10314	4
N/A	1
11231	2
11238	6
10019	6
10018	1
10013	4
10012	3
11232	6
10010	4
10017	1
11235	5
11236	3
10014	2
11432	4
11433	5
11430	1
11436	2
10022	4
11434	3
11204	8
10004	2
10007	1
10000	1
10001	5
10002	9
10003	7
11206	4
10009	8
11693	2
10474	2
10471	5
10473	4
10472	5
11354	2
11249	1
10075	1
11230	30
10466	8
10467	10
10464	2
10462	11
10463	7
10460	2
10461	8
10468	9
10469	7
11411	1
11412	2
11413	3
11414	7
11415	1
11416	1
11417	8
11418	7
11419	4
