4/1/2014,14546
4/10/2014,20041
4/11/2014,20420
4/12/2014,18170
4/13/2014,12112
4/14/2014,12674
4/15/2014,20641
4/16/2014,17717
4/17/2014,20973
4/18/2014,18074
4/19/2014,14602
4/2/2014,17474
4/20/2014,11017
4/21/2014,13162
4/22/2014,16975
4/23/2014,20346
4/24/2014,23352
4/25/2014,25095
4/26/2014,24925
4/27/2014,14677
4/28/2014,15475
4/29/2014,22835
4/3/2014,20701
4/30/2014,36251
4/4/2014,26714
4/5/2014,19521
4/6/2014,13445
4/7/2014,19550
4/8/2014,16188
4/9/2014,16843
5/1/2014,23375
5/10/2014,22550
5/11/2014,14901
5/12/2014,17470
5/13/2014,19498
5/14/2014,22218
5/15/2014,26301
5/16/2014,32493
5/17/2014,22294
5/18/2014,16508
5/19/2014,18315
5/2/2014,24235
5/20/2014,20860
5/21/2014,23508
5/22/2014,26802
5/23/2014,26465
5/24/2014,14651
5/25/2014,10841
5/26/2014,10202
5/27/2014,17004
5/28/2014,22240
5/29/2014,24930
5/3/2014,22234
5/30/2014,24413
5/31/2014,21261
5/4/2014,13918
5/5/2014,17859
5/6/2014,19300
5/7/2014,21891
5/8/2014,27513
5/9/2014,26385
6/1/2014,15967
6/10/2014,22874
6/11/2014,25716
6/12/2014,29844
6/13/2014,31207
6/14/2014,19327
6/15/2014,14511
6/16/2014,17778
6/17/2014,21807
6/18/2014,24647
6/19/2014,28594
6/2/2014,17503
6/20/2014,24271
6/21/2014,19940
6/22/2014,16322
6/23/2014,17735
6/24/2014,20779
6/25/2014,26460
6/26/2014,28516
6/27/2014,24895
6/28/2014,21208
6/29/2014,17107
6/3/2014,22674
6/30/2014,18395
6/4/2014,22831
6/5/2014,28371
6/6/2014,24683
6/7/2014,20889
6/8/2014,15749
6/9/2014,23244
7/1/2014,21228
7/10/2014,30541
7/11/2014,28752
7/12/2014,25936
7/13/2014,21082
7/14/2014,27350
7/15/2014,33845
7/16/2014,28607
7/17/2014,30710
7/18/2014,29860
7/19/2014,25726
7/2/2014,26480
7/20/2014,21212
7/21/2014,23578
7/22/2014,29029
7/23/2014,34073
7/24/2014,32050
7/25/2014,29975
7/26/2014,27708
7/27/2014,22590
7/28/2014,23981
7/29/2014,27589
7/3/2014,21597
7/30/2014,30740
7/31/2014,33541
7/4/2014,14148
7/5/2014,10890
7/6/2014,11443
7/7/2014,18280
7/8/2014,25763
7/9/2014,27817
8/1/2014,32353
8/10/2014,20584
8/11/2014,22632
8/12/2014,29646
8/13/2014,29788
8/14/2014,30457
8/15/2014,28974
8/16/2014,26234
8/17/2014,21209
8/18/2014,21956
8/19/2014,24834
8/2/2014,28678
8/20/2014,27955
8/21/2014,32304
8/22/2014,29512
8/23/2014,27097
8/24/2014,22036
8/25/2014,22093
8/26/2014,24550
8/27/2014,27018
8/28/2014,28597
8/29/2014,27424
8/3/2014,23146
8/30/2014,23930
8/31/2014,23271
8/4/2014,24952
8/5/2014,28094
8/6/2014,30495
8/7/2014,32759
8/8/2014,30411
8/9/2014,26286
9/1/2014,19961
9/10/2014,35910
9/11/2014,36439
9/12/2014,39540
9/13/2014,43205
9/14/2014,28122
9/15/2014,29454
9/16/2014,36092
9/17/2014,35531
9/18/2014,40274
9/19/2014,41017
9/2/2014,28831
9/20/2014,38864
9/21/2014,28620
9/22/2014,28312
9/23/2014,30316
9/24/2014,31301
9/25/2014,38203
9/26/2014,37504
9/27/2014,39468
9/28/2014,29656
9/29/2014,29201
9/3/2014,32631
9/30/2014,33431
9/4/2014,38360
9/5/2014,42319
9/6/2014,40520
9/7/2014,30134
9/8/2014,30360
9/9/2014,34560
