(0, 23790928)
(1, 17519005)
(2, 12921110)
(3, 9433785)
(4, 7042636)
(5, 6370503)
(6, 13425216)
(7, 22628890)
(8, 27632311)
(9, 28404831)
(10, 27811050)
(11, 28827927)
(12, 30235714)
(13, 30060417)
(14, 31075621)
(15, 29633240)
(16, 25549584)
(17, 30636898)
(18, 36934148)
(19, 38174254)
(20, 36062071)
(21, 35595271)
(22, 34375117)
(23, 30226259)
