2015-05-17,100,1
2015-05-17,113,2
2015-05-17,125,1
2015-05-17,132,1
2015-05-17,135,1
2015-05-17,137,2
2015-05-17,138,1
2015-05-17,141,7
2015-05-17,142,2
2015-05-17,143,1
2015-05-17,145,4
2015-05-17,147,1
2015-05-17,148,2
2015-05-17,158,1
2015-05-17,161,1
2015-05-17,162,1
2015-05-17,164,2
2015-05-17,166,3
2015-05-17,170,2
2015-05-17,174,1
2015-05-17,181,1
2015-05-17,186,1
2015-05-17,188,1
2015-05-17,22,1
2015-05-17,224,1
2015-05-17,228,2
2015-05-17,229,3
2015-05-17,230,1
2015-05-17,231,2
2015-05-17,233,1
2015-05-17,234,2
2015-05-17,236,4
2015-05-17,237,4
2015-05-17,238,2
2015-05-17,239,1
2015-05-17,242,1
2015-05-17,246,1
2015-05-17,249,3
2015-05-17,255,4
2015-05-17,256,1
2015-05-17,263,2
2015-05-17,33,1
2015-05-17,37,1
2015-05-17,41,2
2015-05-17,48,3
2015-05-17,61,2
2015-05-17,62,1
2015-05-17,65,2
2015-05-17,68,1
2015-05-17,7,1
2015-05-17,74,1
2015-05-17,75,1
2015-05-17,79,3
2015-05-17,80,1
2015-05-17,87,1
2015-05-17,90,1
2015-05-17,95,1
